id	prompt	entry_point	canonical_solution	test_code
Natural2Code/10	"Please complete the following python function, with only one solution and no explanation and no example usage:
def Sum(arr, l, r):
  """"""
  Given an array and a range (l, r), return the summation between l and r by brute forcing
  """"""
"	Sum	"  sum = 0
  for i in range (l, min(r + 1, len(arr))):
    sum += arr[i]
  
  return sum
"	"assert Sum([1, 2, 3, 4, 5], 0, 2) == 6
assert Sum([1, 2, 3, 4, 5], 1, 3) == 9
assert Sum([1, 2, 3, 4, 5], 4, 4) == 5
assert Sum([1, 2, 3, 4, 5], 0, 4) == 15
assert Sum([1, 2, 3, 4, 5], 1, 4) == 14"
Natural2Code/11	"Please complete the following python function, with only one solution and no explanation and no example usage:
def intersect(a1: int, b1: int, a2: int, b2: int) -> int:
    """"""Given the integer parameters a1, b1, a2 and b2 of two linear functions a1x + b1, a2x+b2
    return the number of intersections between the two lines.
    If there is an infinite number of intersections return -1.
    For example:
    intersect(1, 2, 1, 2)  == -1
    intersect(1, 2, 3, 2)  == 1
    intersect(1, 2, 1, 4)  == 0
    """"""
"	intersect	"    if a1==a2 and b1==b2:
        return -1
    if a1==a2:
        return 0
    return 1
"	"assert intersect(0, 1, 0, 2) == 0
assert intersect(1, 0, 1, 1) == 0
assert intersect(1, 2, 2, 3) == 1
assert intersect(1, 2, 1, 3) == 0
assert intersect(1, 7, 1, 7) == -1"
Natural2Code/12	"Please complete the following python function, with only one solution and no explanation and no example usage:
def nCr(n: int, r: int) -> int:
  """"""
  Given two integers n and r, calculate the value of n choose r, and return it.
  Return -1 if r is greater than n.
  """"""
"	nCr	"  if n < r:
    return -1

  fact = [1] * (n + 1)

  for i in range(2, n + 1):
    fact[i] = i * fact[i - 1]

  return int(fact[n] / (fact[r] * fact[n - r]))
"	"assert nCr(5, 2) == 10
assert nCr(10, 5) == 252
assert nCr(100, 50) == 100891344545564202071714955264

# Tests for invalid input
assert nCr(5, 6) == -1
assert nCr(2, 3) == -1"
Natural2Code/13	"Please complete the following python function, with only one solution and no explanation and no example usage:
def stringManipulation(string):
    """"""
    Given a string, return the string capitalized and reversed
    For Example:
    stringManipulation(""hello"") == OLLEH
    stringManipulation(""python"") == NOHTYP
    """"""
"	stringManipulation	"    reversedString = string[::-1]
    reversedString = reversedString.upper()

    return reversedString
"	"assert stringManipulation(""hello"") == ""OLLEH""
assert stringManipulation(""python"") == ""NOHTYP""
assert stringManipulation(""CS151"") == ""151SC""
assert stringManipulation(""data"") == ""ATAD""
assert stringManipulation(""bowwow"") == ""WOWWOB"""
Natural2Code/14	"Please complete the following python function, with only one solution and no explanation and no example usage:
def filter_multiples_K(nums, K):
    """"""
    Given a list of numbers nums, return a list of all the multiples of K in nums.

    Examples:

    filter_multiples_K([1,2,3,4,5,8], 2) == [2,4,8]
    filter_multiples_K([1,2,3], 1) == [1,2,3]

    Args:
        nums(list): The list of numbers to be filtered
        K(int): The number that filters the list
    
    Returns:
        list: The list of all multiples of K in nums    
    """"""
"	filter_multiples_K	"
    i = 0
    multiples_K = []

    while(i < len(nums)):
        if(nums[i] % K == 0):
            multiples_K.append(nums[i])
        i = i + 1
    
    return multiples_K
"	"assert filter_multiples_K([1,2,2,4,4], 2) == [2,2,4,4]
assert filter_multiples_K([5,6,7,8], 3) == [6]
assert filter_multiples_K([1,3,5], 2) == []
assert filter_multiples_K([11, 12, 13, -1, -2, -3], 2) == [12, -2]
assert filter_multiples_K([1,1,1,1], 1) == [1,1,1,1]"
Natural2Code/15	"Please complete the following python function, with only one solution and no explanation and no example usage:
def is_rotation(string1: str, string2: str) -> str:
    """"""
    You are given two strings 's1' and 's2', Your task is to determine whether the second string 's2' is a rotation
    of 's1'. A rotation of a string involves moving some characters from the beginning to the end while maintaining the
    order of the remaining characters.

    Examples:
        is_rotation(""abc"", ""cba"") -> ""NO""
        is_rotation(""abb"", ""bab"") -> ""YES"" 
        is_rotation(""abc"", ""bca"") -> ""YES""
        is_rotation(""cbaa"", ""aacb"") -> ""YES""
    """"""
"	is_rotation	"    if len(string1) != len(string2):
        return ""NO""

    concatenated_string = string1 + string1  # best way to check if the second string is a rotation of the first string.
    # concatenate the first string with itself then you have all the rotations of the first string,
    # then check if the second string is in the concatenated string or not.

    if string2 in concatenated_string:  # checking if the second string is inside the concatenated string or not.
        return ""YES""
    else:
        return ""NO""
"	"assert is_rotation(""youare"", ""ouarey"") == ""YES""
assert is_rotation(""rotation"", ""ationrot"") == ""YES""
assert is_rotation(""rotation"", ""rottiona"") == ""NO""
assert is_rotation(""abcd"", ""bcda"") == ""YES""
assert is_rotation(""abcd"", ""dabc"") == ""YES""
assert is_rotation(""pqr"", ""rpq"") == ""YES""
assert is_rotation("""", """") == ""YES""
assert is_rotation(""efgh"", ""fghee"") == ""NO"""
Natural2Code/16	"Please complete the following python function, with only one solution and no explanation and no example usage:
def get_max_power(N: int) -> int:
    """"""
   Given a positive integer N, find the maximum integer k such that 2 ^ k <= N.
    """"""
"	get_max_power	"    ans = 0
    i = 1
    while i * 2 <= N:
        ans += 1
        i *= 2
    return ans
"	"assert get_max_power(10) == 3
assert get_max_power(100) == 6
assert get_max_power(1) == 0
assert get_max_power(1000) == 9
assert get_max_power(10000) == 13"
Natural2Code/17	"Please complete the following python function, with only one solution and no explanation and no example usage:
def richest(lst:list, n:int) -> int:
  """"""You are given a list of money that all students have in your class except 
  you. You own n amount of money. You want to be the richest person in the 
  class.
  What is minimum amount of money you need to have so that you will have 
  more money than anyone has in the class and finally, return that amount.
  For example:
  richest([4,12,55,3,1], 50) == 6
  richest([4,12,55,3,1,109], 30) = 80
  richest([6,44,32], 50) == 0 
  """"""
"	richest	"  mx = max(lst)
  mx = mx+1
  return max(0,mx-n)
"	"assert richest([123,456,232], 89) == 368
assert richest([223,567,392], 999) == 0
assert richest([1,1,1,1,1], 1) == 1
assert richest([1024,512,256,128,64], 32) == 993
assert richest([23,54,31,87,75], 77) == 11"
Natural2Code/18	"Please complete the following python function, with only one solution and no explanation and no example usage:
def ugly_array(arr:list) -> bool:
  """"""
  You are given an array of numbers of length n. The array will be called
  an ugly array if the following two conditions are satisfied.
  1. arr_i is not equal to i for each i from 1 to n
  2. The sum of all numbers in that array is not divisible by n.
  Return True if the array is ugly; otherwise, return False.
  For example:
  ugly_array([3,1,7]) == True
  ugly_array([1,2,3]) == False
  ugly_array([1,2,3,5,6,7]) == False
  """"""
"	ugly_array	"  n = len(arr)
  if n==0:
    return True
  is_ugly = True
  sum = 0
  for i in range(n):
    if arr[i]==i+1:
      is_ugly = False
    sum+= arr[i]

  if sum%n==0:
    is_ugly = False
  
  return is_ugly

  
"	"assert ugly_array([1]) == False
assert ugly_array([-1, 1, 2])== True
assert ugly_array([2, -19, 17])== False
assert ugly_array([1,2,3])== False
assert ugly_array([1,2,3,0])== False"
Natural2Code/19	"Please complete the following python function, with only one solution and no explanation and no example usage:
def binary_to_hexadecimal(binary: str) -> str:
    """"""
    Converts a binary string to a hexadecimal string
    For example: binary_to_hexadecimal(""110110001"") == 1B1
    """"""
"	binary_to_hexadecimal	"    hex_result = """"
    binary = binary[::-1]

    i = 0
    while i < len(binary):
        digit = 0
        p = 1
        for j in range(i, min(i+4, len(binary))):
            digit += p * int(binary[j])
            p *= 2
        
        if digit <= 9:
            hex_result += str(digit)
        else:
            hex_result += chr(ord('A') + digit-10)
        
        i += 4

    hex_result = hex_result[::-1]
    return hex_result


"	"assert binary_to_hexadecimal(""10001011"") == ""8B""
assert binary_to_hexadecimal(""11111111"") == ""FF""
assert binary_to_hexadecimal("""") == """"
assert binary_to_hexadecimal(""0101010111011101"") == ""55DD""
assert binary_to_hexadecimal(""0011011010111011110001011101011011"") == ""0DAEF175B"""
Natural2Code/20	"Please complete the following python function, with only one solution and no explanation and no example usage:
import sys

def next_smallest_palindrome(n: int) -> int:
    """"""Given an integer n, return the next smallest palindrome number.
    Return the next smallest palindrome number.
    For example:
    next_smallest_palindrome(9) == 11
    next_smallest_palindrome(99) == 101
    next_smallest_palindrome(1502) == 1551
    """"""
"	next_smallest_palindrome	"    num_str = str(n)
    for i in range(n+1,sys.maxsize):
        if str(i) == str(i)[::-1]:
            return i
"	"assert next_smallest_palindrome(23450) == 23532
assert next_smallest_palindrome(100001) == 101101
assert next_smallest_palindrome(19) == 22
assert next_smallest_palindrome(1234) == 1331
assert next_smallest_palindrome(12321) == 12421"
Natural2Code/21	"Please complete the following python function, with only one solution and no explanation and no example usage:
def get_diameter(graph: dict) -> int:
    """"""
    You are given a tree consisting of 'n' vertices and 'n-1' edges. Your task is to determine the diameter of this tree
    The diameter of a tree is the length of the longest path between any two vertices in the tree.
    This length is measured by the number of edges that need to be traversed to move from one vertex to another.

    For example:
        get_diameter({
            1: [2, 3],
            2: [1],
            3: [1]
        }) -> the diameter is '2' (the length between node number '2' and node number '3')

        get_diameter({
            1: [2, 3, 4],
            2: [1, 6],
            3: [1, 5],
            4: [1],
            5: [3],
            6: [2]
        }) -> the diameter is '4' (the length between node number '5' and node number '6')
    """"""
"	get_diameter	"    n = 0
    for i in graph:
        n = max(n, i)

    def bfs(start_node: int, flag: bool) -> int:
        visited = []
        distance = [1000000] * (n + 1)
        visited.append(start_node)
        distance[0] = 0
        distance[start_node] = 0
        queue = [start_node]
        while queue:
            current_node = queue.pop(0)

            for adjacent_node in graph[current_node]:
                if adjacent_node not in visited:
                    visited.append(adjacent_node)
                    queue.append(adjacent_node)
                    distance[adjacent_node] = distance[current_node] + 1
        max_dis = 0
        node = 0
        for j in range(1, n + 1):
            if distance[j] > max_dis:
                node = j
                max_dis = distance[node]
        if not flag:
            return node
        else:
            return max_dis

    return bfs(bfs(1, False), True)
"	"assert get_diameter({
    1: [2, 3],
    2: [1],
    3: [1]
}) == 2

assert get_diameter({
    1: [2, 3, 4],
    2: [1, 6],
    3: [1, 5],
    4: [1],
    5: [3],
    6: [2]
}) == 4

assert get_diameter({
    1: [2, 3, 5],
    2: [1, 4],
    3: [1],
    4: [2],
    5: [1]
}) == 3

assert get_diameter({
    1: [2, 3, 4, 6],
    2: [1, 5],
    3: [1],
    4: [1],
    5: [2],
    6: [1]
}) == 3

assert get_diameter({
    1: [2, 3],
    2: [1, 5],
    3: [1, 4],
    4: [3],
    5: [2]
}) == 4

assert get_diameter({
    1: [2],
    2: [1, 3, 4],
    3: [2, 5],
    4: [2, 6, 7],
    5: [3, 8],
    6: [4, 9],
    7: [4, 10],
    8: [5],
    9: [6],
    10: [7]
}) == 6

assert get_diameter({
    1: [2, 3],
    2: [1, 4, 6],
    3: [1, 5, 7],
    4: [2, 8, 9],
    5: [3, 10],
    6: [2],
    7: [3],
    8: [4],
    9: [4],
    10: [5]
}) == 6"
Natural2Code/22	"Please complete the following python function, with only one solution and no explanation and no example usage:
import math
def count_divisors(n: int) -> int:
    """"""Given a positive integer n, return the count of its divisors.
    For example:
    count_divisors(9)  == 3
    count_divisors(12) == 6
    """"""
"	count_divisors	"    
    cnt = 0
    for i in range(1, int(math.sqrt(n))+1):
        if(n % i == 0):
            cnt += 1
            if(n / i != i):
                cnt += 1
            
    return cnt
"	"assert count_divisors(9) == 3
assert count_divisors(12) == 6
assert count_divisors(1) == 1
assert count_divisors(100) == 9
assert count_divisors(2145687914) == 8"
